Date,Portfolios BV returns (%),Portfolios BN returns (%),Portfolios BG returns (%),Portfolios SV returns (%),Portfolios SN returns (%),Portfolios SG returns (%)
1993-10-01,1.11654836643731,-1.79661855265834,-1.18691754979071,1.17893967418605,0.408205861358724,0.963746458767978
1993-10-04,-1.90139667743606,-0.698931135161762,-0.989842605945579,0.124711465428895,-0.659998116690197,-1.65471726923079
1993-10-05,0.171674527826049,-0.0699057764958266,-0.431747463940946,0.401381076721674,0.0162321691250078,-0.565492277494506
1993-10-06,-2.72024279127565,-0.217238908891437,0.112293811561193,-1.12020953365503,-1.03736673943682,-0.871395424821042
1993-10-07,0.34803646559638,0.60832495172285,0.552180608385422,0.473282031680089,0.168018160434147,-0.00709512644831989
1993-10-08,2.48301443777659,0.113863976054929,0.558256961777892,3.40734996810104,1.8422521325425,1.42485302513315
1993-10-11,0.707957181905439,-0.49113319037607,1.07839758223831,2.2873557806885,2.77209769921527,2.68588589219847
1993-10-12,-0.775964500260207,1.68627292609638,0.144336436518588,0.863669972064107,0.804932240003442,-0.24679498855753
1993-10-19,1.88256527775699,0.760827406465081,1.51297009386855,0.0512325060599839,1.23127001873482,1.44850488092743
1993-10-20,-0.55870216848396,-0.275168290775962,-0.770525923005339,0.789369220933223,0.811628680257015,0.79062987898364
1993-10-21,-2.07363809986156,-2.92428349048557,-1.48154187720873,-1.87483933675876,-2.51102425377733,-2.92852869522942
1993-10-22,0.257510346798573,1.12872864715281,1.23739221868782,-0.114865122531349,0.703584543236979,0.70501250251922
1993-10-25,1.08271810510954,0.888863514104177,0.515920150709914,0.130459235319758,0.314145812688471,-0.341031095995747
1993-10-26,-1.96193652823354,-1.42300971737473,-1.31496841429255,-0.805188862203809,-1.3468577687928,-1.01631216122863
1993-10-27,0.936072523124531,-0.153157281315219,0.0121974706372763,-0.814444019327321,-1.3962172659186,-1.41120096405586
1993-10-28,-0.598040296003644,-0.485079045314663,-0.242961956375798,-0.374741341054841,-0.563610936373082,-0.611206301512535
1993-10-29,0.0226270066002066,-0.850619960653276,-0.876221275840672,-0.621590865080446,-1.11379870198027,-0.562892597722187
1993-11-01,-2.46681930864718,-2.13201258072283,-2.25832918018374,-1.83113251243755,-1.49968622520832,-2.30661989421619
1993-11-02,-1.00580247801123,-0.467684367468746,-0.302653584639034,-0.10949453502993,-1.04673109152512,-0.620587142214946
1993-11-03,-0.0574253899678134,0.782572045993346,0.819792634983907,0.30765438479019,0.628939820561469,0.396551368903197
1993-11-04,0.0664018334881167,-0.306174422092897,0.276683343469175,0.684190656539552,0.727651864308521,0.456254091961017
1993-11-05,1.22089505700331,0.682646312825286,1.3289933015509,0.180031542334036,0.872720586189835,1.14979420831733
1993-11-08,2.04998263731149,2.55057884283358,1.82744779710051,1.27354114927567,1.35484928987959,1.77489773404875
1993-11-09,1.46278080637186,2.26688813360711,0.739784577636748,0.227634355274486,0.177518082485473,0.461761784656067
1993-11-10,1.75310450801527,1.69246789051154,0.830032397839942,0.288396413498981,0.0719039566582369,0.24686478874989
1993-11-16,1.80597853636955,2.18239320669964,3.32009536020925,2.01073786853552,1.11692973933919,1.87783726364152
1993-11-17,4.79620888425711,1.94410460288374,1.35003726094558,1.92855743033833,1.50208994879666,1.96093561359181
1993-11-18,5.73895625877083,1.85918232840516,1.91280312501674,1.50397277648524,0.720730496887145,0.735509592764294
1993-11-19,1.64957858204544,1.38023772812634,1.53671966402551,0.880156779046115,1.45195182269506,1.46455866944137
1993-11-22,1.46607991793899,2.72602354568341,2.12386537161491,1.21525555430879,1.07925179932531,1.84147323047987
1993-11-23,-0.793529585287156,-0.362689735117072,0.956838337900501,0.0784999878519654,0.64149651964629,0.443770482922146
1993-11-24,-1.75107275825774,-0.831484126805027,0.0819552683078539,-1.81933670315276,-1.01341300736117,-0.747739711233664
1993-11-25,-0.878737098559712,-0.554721998862839,0.928313168976902,-0.869880962015768,-1.0642930756258,-0.953042675238325
1993-11-26,5.90316953608188,4.62703748617748,3.75795159027865,2.80792113929584,2.78251811621482,2.56637920912197
1993-12-01,10.3545793235662,3.61045665445003,1.74538593891451,1.53745701153818,0.777562087947081,0.87514377649085
1993-12-02,5.90231473728793,1.61252947098893,0.284374131244247,2.13003274001677,1.07617131540472,1.24156779310072
1993-12-03,-1.28491772030647,-1.78406945111252,-1.00867942939054,0.142605072465685,0.121688460483083,0.797922131299766
1993-12-06,-0.746001850687894,-1.08458105004621,-1.97779736725165,-1.17242291157768,-0.144895766823683,-0.874977960586487
1993-12-07,3.0796631042415,2.90794088996198,1.16524309494119,0.450195234117534,0.368638441795177,0.257531421288015
1993-12-08,1.13432807458209,2.63746182196014,1.53614398093076,1.05438059927507,1.1573001646745,1.69357948894597
1993-12-09,2.64818146697812,0.410058734175789,0.614794011674569,1.35552169641173,1.87914255509478,0.626125901564989
1993-12-10,2.36962778111334,2.27578681387171,2.68233551969137,1.87011685757248,1.14017733973959,1.31992531618064
1993-12-13,1.44212025496659,1.92841599621376,3.13345888622083,2.59548474438165,2.10388110897821,2.9734320828158
1993-12-24,-3.75197491600876,-3.03622498182681,0.281343118833055,0.545060495147487,0.666603458997161,-1.16606781468075
1994-01-03,6.45006575301244,6.33086002304284,4.09840457085295,6.71245374408127,4.72015356529241,4.53092802874162
1994-01-04,2.38579476874239,0.0820153985437777,0.325219242242958,3.57849085096047,3.43614609229197,3.75424117821896
1994-01-05,-2.7265088403743,-1.06165048866099,-1.06714878129497,-1.17968919882934,-0.0339985736887649,-0.858804896695187
