Date,Open,High,Low,Close
2024-07-03,7.009,7.009,6.999,7.001
2024-07-04,6.992,7.001,6.989,6.998
2024-07-05,7.016,7.016,6.987,6.993
2024-07-08,6.989,6.991,6.983,6.989
2024-07-09,7.006,7.006,6.983,6.989
2024-07-10,6.995,6.995,6.975,6.976
2024-07-11,6.982,6.982,6.982,6.982
2024-07-12,6.975,6.988,6.972,6.986
2024-07-15,7.005,7.005,6.977,6.981
2024-07-16,6.977,6.977,6.963,6.966
2024-07-18,6.97,6.97,6.959,6.966
2024-07-19,6.976,6.976,6.962,6.965
2024-07-22,6.982,6.982,6.966,6.967
2024-07-23,6.972,6.987,6.952,6.97
2024-07-24,6.977,6.977,6.96,6.964
2024-07-25,6.974,6.974,6.952,6.952
2024-07-26,6.962,6.962,6.927,6.94
2024-07-29,6.942,6.942,6.913,6.919
2024-07-30,6.926,6.934,6.91,6.931
2024-07-31,6.932,6.939,6.918,6.924
2024-08-01,6.912,6.919,6.909,6.916
2024-08-02,6.909,6.909,6.894,6.9
2024-08-05,6.862,6.865,6.844,6.86
2024-08-06,6.87,6.88,6.867,6.872
2024-08-07,6.885,6.885,6.859,6.862
2024-08-08,6.862,6.885,6.859,6.877
2024-08-09,6.887,6.889,6.878,6.88
2024-08-12,6.881,6.881,6.87,6.879
2024-08-13,6.869,6.887,6.869,6.88
2024-08-14,6.871,6.874,6.857,6.858
2024-08-16,6.88,6.88,6.864,6.867
2024-08-19,6.871,6.871,6.86,6.864
2024-08-20,6.874,6.874,6.85,6.856
2024-08-21,6.849,6.859,6.846,6.853
2024-08-22,6.861,6.861,6.843,6.852
2024-08-23,6.855,6.862,6.849,6.859
2024-08-26,6.854,6.854,6.848,6.851
2024-08-27,6.863,6.863,6.854,6.861
2024-08-28,6.858,6.866,6.856,6.861
2024-08-29,6.87,6.87,6.862,6.864
2024-08-30,6.872,6.872,6.862,6.863
2024-09-02,6.877,6.878,6.865,6.876
2024-09-03,6.885,6.885,6.869,6.87
2024-09-04,6.861,6.863,6.857,6.859
2024-09-05,6.853,6.856,6.851,6.855
2024-09-06,6.852,6.855,6.846,6.854
2024-09-09,6.861,6.861,6.852,6.854
2024-09-10,6.855,6.855,6.85,6.851
2024-09-11,6.84,6.841,6.827,6.83
2024-09-12,6.835,6.835,6.806,6.811
2024-09-13,6.819,6.819,6.784,6.792
2024-09-16,6.797,6.797,6.759,6.762
2024-09-17,6.775,6.781,6.753,6.779
2024-09-19,6.793,6.793,6.736,6.758
2024-09-20,6.768,6.769,6.747,6.761
2024-09-23,6.775,6.775,6.759,6.767
2024-09-24,6.768,6.77,6.754,6.761
2024-09-25,6.753,6.753,6.735,6.738
2024-09-26,6.74,6.74,6.706,6.718
2024-09-27,6.747,6.767,6.723,6.759
2024-09-30,6.76,6.76,6.744,6.75
2024-10-01,6.759,6.759,6.73,6.732
2024-10-03,6.751,6.779,6.744,6.777
2024-10-04,6.793,6.838,6.792,6.829
2024-10-07,6.846,6.853,6.813,6.846
2024-10-08,6.845,6.845,6.802,6.806
2024-10-09,6.818,6.818,6.741,6.766
2024-10-10,6.805,6.805,6.75,6.776
2024-10-11,6.77,6.798,6.767,6.788
2024-10-14,6.788,6.788,6.767,6.782
2024-10-15,6.794,6.794,6.765,6.769
2024-10-16,6.762,6.775,6.758,6.773
2024-10-17,6.775,6.787,6.77,6.784
2024-10-18,6.794,6.821,6.789,6.809
2024-10-21,6.831,6.842,6.804,6.837
2024-10-22,6.859,6.859,6.818,6.832
2024-10-23,6.831,6.833,6.811,6.818
2024-10-24,6.843,6.843,6.808,6.822
2024-10-25,6.836,6.849,6.818,6.845
2024-10-28,6.875,6.875,6.856,6.861
2024-10-29,6.875,6.875,6.837,6.847
2024-10-30,6.849,6.849,6.826,6.827
2024-10-31,6.841,6.847,6.832,6.841
2024-11-04,6.831,6.831,6.795,6.797
2024-11-05,6.802,6.805,6.793,6.799
2024-11-06,6.838,6.838,6.783,6.798
2024-11-07,6.794,6.8,6.785,6.796
2024-11-08,6.781,6.787,6.767,6.774
2024-11-11,6.786,6.79,6.778,6.785
2024-11-12,6.793,6.807,6.786,6.795
2024-11-13,6.809,6.812,6.8,6.804
2024-11-14,6.822,6.831,6.813,6.827
2024-11-18,6.842,6.842,6.817,6.821
2024-11-19,6.818,6.818,6.806,6.811
2024-11-21,6.822,6.836,6.817,6.831
2024-11-22,6.852,6.863,6.842,6.85
2024-11-25,6.841,6.841,6.817,6.822
2024-11-26,6.839,6.839,6.809,6.827
2024-11-27,6.828,6.828,6.811,6.812
2024-11-28,6.825,6.825,6.799,6.805
2024-11-29,6.807,6.807,6.739,6.751
2024-12-02,6.802,6.802,6.707,6.71
2024-12-03,6.76,6.76,6.71,6.714
2024-12-04,6.725,6.725,6.68,6.686
2024-12-05,6.696,6.696,6.677,6.68
2024-12-06,6.687,6.751,6.668,6.74
2024-12-09,6.753,6.753,6.715,6.717
2024-12-10,6.715,6.715,6.692,6.705
2024-12-11,6.711,6.721,6.706,6.718
2024-12-12,6.728,6.741,6.726,6.736
2024-12-13,6.783,6.783,6.725,6.729
2024-12-16,6.734,6.744,6.727,6.741
2024-12-17,6.753,6.761,6.745,6.759
2024-12-18,6.76,6.76,6.747,6.751
2024-12-19,6.787,6.794,6.775,6.787
2024-12-20,6.799,6.799,6.784,6.791
2024-12-23,6.785,6.785,6.771,6.776
2024-12-24,6.789,6.789,6.773,6.776
2024-12-26,6.781,6.785,6.777,6.784
2024-12-27,6.781,6.807,6.776,6.787
2024-12-30,6.785,6.789,6.772,6.775
2024-12-31,6.767,6.767,6.758,6.759
2025-01-01,6.774,6.782,6.773,6.779
2025-01-02,6.801,6.801,6.782,6.787
2025-01-03,6.8,6.8,6.778,6.779
2025-01-06,6.788,6.79,6.75,6.763
2025-01-07,6.755,6.757,6.731,6.746
2025-01-08,6.76,6.77,6.739,6.767
2025-01-09,6.773,6.782,6.762,6.764
2025-01-10,6.773,6.773,6.757,6.769
2025-01-13,6.795,6.852,6.792,6.843
2025-01-14,6.852,6.869,6.821,6.829
2025-01-15,6.838,6.838,6.804,6.813
2025-01-16,6.788,6.788,6.749,6.754
2025-01-17,6.745,6.78,6.743,6.774
2025-01-20,6.78,6.78,6.758,6.763
2025-01-21,6.754,6.754,6.729,6.734
2025-01-22,6.745,6.745,6.716,6.719
2025-01-23,6.738,6.738,6.718,6.736
2025-01-24,6.717,6.726,6.709,6.72
2025-01-27,6.672,6.681,6.666,6.675
2025-01-28,6.646,6.69,6.631,6.681
2025-01-29,6.7,6.702,6.673,6.683
2025-01-30,6.701,6.701,6.675,6.678
2025-01-31,6.696,6.7,6.68,6.694
2025-02-03,6.703,6.709,6.659,6.67
2025-02-04,6.68,6.68,6.666,6.672
2025-02-05,6.674,6.674,6.653,6.664
2025-02-06,6.649,6.659,6.649,6.657
2025-02-07,6.668,6.71,6.652,6.699
2025-02-10,6.717,6.728,6.709,6.713
2025-02-11,6.688,6.699,6.685,6.697
2025-02-12,6.71,6.71,6.693,6.697
2025-02-13,6.723,6.723,6.699,6.712
2025-02-14,6.709,6.71,6.699,6.705
2025-02-17,6.694,6.694,6.687,6.692
2025-02-18,6.7,6.7,6.68,6.682
2025-02-20,6.682,6.705,6.68,6.703
2025-02-21,6.703,6.714,6.701,6.708
2025-02-24,6.696,6.707,6.693,6.7
2025-02-25,6.699,6.709,6.695,6.706
2025-02-27,6.7,6.712,6.699,6.71
2025-02-28,6.709,6.731,6.706,6.72
2025-03-03,6.789,6.789,6.729,6.73
2025-03-04,6.736,6.745,6.721,6.74
2025-03-05,6.757,6.757,6.709,6.71
2025-03-06,6.686,6.694,6.68,6.68
2025-03-07,6.682,6.69,6.682,6.68
2025-03-10,6.714,6.714,6.687,6.7
2025-03-11,6.717,6.717,6.687,6.69
2025-03-12,6.703,6.703,6.678,6.68
2025-03-13,6.696,6.698,6.68,6.69
2025-03-17,6.702,6.702,6.687,6.69
2025-03-18,6.698,6.698,6.669,6.67
2025-03-19,6.659,6.665,6.656,6.66
2025-03-20,6.655,6.658,6.629,6.64
2025-03-21,6.645,6.645,6.617,6.62
2025-03-24,6.643,6.643,6.626,6.62
2025-03-25,6.646,6.646,6.621,6.63
2025-03-26,6.643,6.643,6.598,6.6
2025-03-27,6.618,6.618,6.582,6.59
2025-03-28,6.598,6.608,6.577,6.58
