Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr),SMB,HML,WML,MF,RF,Simple_Return,Log_Return,Intraday_Return
2024-08-27,25024.8,25073.1,24973.65,25017.75,223346636,26695.0,0.770331131589952,0.0430972423036691,0.0738101127444768,0.0118501122208459,0.0175996969580705,0.0002858787873942781,0.00028583793184004246,0.003982197235886508
2024-08-28,25030.8,25129.6,24964.65,25052.35,220419448,26994.19,-0.361312244378453,-0.282176086756147,0.0827131288992033,0.0114463783204677,0.0175996969581149,0.0013830180571794415,0.0013820625685767348,0.0066073427826946135
2024-08-29,25035.3,25192.9,24998.5,25151.95,353993900,43221.73,-1.20726205156664,0.0799254601693056,-0.267680415172555,-0.149429324117878,0.0175878845585453,0.003975674936682605,0.003967792825316532,0.007776466587995338
2024-08-30,25249.7,25268.35,25199.4,25235.9,638166179,89554.91,0.221963773911305,-0.0178877901157559,0.289017273113923,0.524693502026374,0.0175878845585897,0.0033377133780880808,0.003332155576256976,0.002736176258164761
2024-09-02,25333.6,25333.65,25235.5,25278.7,222815249,28187.71,-0.378808482748183,-0.231426829581316,-0.502064705255445,-0.134415252983,0.0527729342302719,0.0016959965763059248,0.0016945599981708784,0.0038893622080006917
2024-09-03,25313.4,25321.7,25235.8,25279.85,212131921,27276.14,0.641073555317262,-0.384343291609268,0.0042434797691504,-0.0289097709666675,0.0175878845585897,4.5492845755390476e-05,4.5491810987265924e-05,0.0034038944673836953
2024-09-04,25089.95,25216.0,25083.8,25198.7,253788501,26293.35,0.72146961342352,-0.438112509865796,-0.546102345048394,0.0203677165420579,0.0175878845585897,-0.003210066515426213,-0.0032152298316295127,0.005270333840965114
2024-09-05,25250.5,25275.45,25127.75,25145.1,222242223,26272.38,0.644998877667335,0.267738336148216,-0.308113055405979,0.0063316751337527,0.0175773556871928,-0.002127093858016571,-0.002129359335315646,0.005877963605973505
2024-09-06,25093.7,25168.75,24801.3,24852.15,311671856,33001.17,0.434352210987043,-0.828399315472828,-0.645855746677693,-1.07450115411398,0.0175773556871928,-0.0116503811875871,-0.011718778635040884,0.014815755625713198
2024-09-09,24823.4,24957.5,24753.15,24936.4,254367252,25180.28,-0.0338838127561636,-0.557665845907074,-0.536745942677619,-0.192141340171481,0.0527413365076779,0.003390048748297403,0.0033843154867430215,0.008255514954662277
2024-09-10,24999.4,25130.5,24896.8,25041.1,251274802,27846.31,0.919665412648074,-0.627353719652901,-0.15150999790029,0.902572824951542,0.0175773556871928,0.00419868144559743,0.004189891577969935,0.009386748497798943
2024-09-11,25034.0,25113.7,24885.15,24918.45,279229206,29395.73,0.196903069654342,-1.47027563850068,-0.836438486342173,-0.602193757724256,0.0175773556871928,-0.004897947773859657,-0.004909982031582216,0.009184192178869698
2024-09-12,25059.65,25433.35,24941.45,25388.9,380069653,41747.91,-1.35232127394593,0.33010985860582,0.530289411126916,1.43943549423753,0.0176186984476301,0.018879585206944993,0.018703577686811725,0.019722189367498595
2024-09-13,25430.45,25430.5,25292.45,25356.5,250781898,25530.69,0.642266711218364,0.326839711859339,0.106483152677828,0.122623445517211,0.0176186984476301,-0.001276148238009589,-0.0012769632085949123,0.005458150554809806
2024-09-16,25406.65,25445.7,25336.2,25383.75,168694880,18705.01,0.0483158960866703,0.311054383853282,0.190123306298773,0.0886633886397536,0.0528654084458458,0.0010746751326089488,0.0010740980826790941,0.004321879366282236
2024-09-17,25416.9,25441.65,25352.25,25418.55,215956868,25280.83,-0.206432786269062,-0.287234441096051,0.480049264273741,-0.0334672236138478,0.0176186984475857,0.0013709558280394774,0.0013700169261289907,0.0035263142324646318
2024-09-18,25402.4,25482.2,25285.55,25377.55,215727159,28832.0,0.453755419140656,0.225465436370897,-0.156084811288726,-0.903873137017153,0.0176186984476301,-0.0016129952337957665,-0.0016142975111744227,0.007777169173698079
2024-09-19,25487.05,25611.95,25376.05,25415.8,314461263,34389.27,-0.801736097496952,-1.06287528416644,-0.741081306590663,-0.539042940413725,0.0176186984476301,0.0015072376963103373,0.0015061029536485916,0.009296167055156396
2024-09-20,25525.95,25849.25,25426.6,25790.95,533067422,68915.27,0.0156610945011071,-0.653766847588666,1.1018116470966,1.30069768116023,0.0176186984476301,0.014760503308965278,0.014652627320371103,0.016622356115249443
2024-09-23,25872.55,25956.0,25847.35,25939.05,209187756,24825.74,-0.405223281254774,0.902464856652352,0.693598076065038,0.792533500032011,0.0528654084458458,0.005742324342453475,0.005725900043797215,0.004203525699926741
2024-09-24,25921.45,26011.55,25886.85,25940.4,384115033,35573.63,-0.660266690244848,0.853380293854755,0.272803383789255,0.227947848717092,0.0176186984475857,5.204508260714391e-05,5.204372830882163e-05,0.004817117571276564
