open_asset1,close_asset1,open_asset2,close_asset2,return_asset1,return_asset2
24906.1,25010.6,51100.65,51148.1,,
25024.8,25017.75,51214.05,51278.75,0.028587878739427808,0.25543470822964043
25030.8,25052.35,51208.95,51143.85,0.13830180571794415,-0.26307193525583195
25035.3,25151.95,51103.75,51152.75,0.3975674936682605,0.017401896806745754
25249.7,25235.9,51437.45,51351.0,0.3337713378088081,0.38756469593521636
25333.6,25278.7,51579.5,51439.55,0.16959965763059248,0.172440653541317
25313.4,25279.85,51479.75,51689.1,0.004549284575539048,0.4851325487878366
25089.95,25198.7,51364.65,51400.25,-0.3210066515426213,-0.5588218792743516
25250.5,25145.1,51544.25,51473.05,-0.2127093858016571,0.14163355236600506
25093.7,24852.15,51200.4,50576.85,-1.16503811875871,-1.741105296849521
24823.4,24936.4,50549.25,51117.8,0.3390048748297403,1.0695604807337888
24999.4,25041.1,51328.3,51272.3,0.419868144559743,0.30224305427855036
25034.0,24918.45,51218.55,51010.0,-0.48979477738596566,-0.5115822773700485
25059.65,25388.9,51271.0,51772.4,1.8879585206944993,1.4946089002156437
25430.45,25356.5,51952.55,51938.05,-0.1276148238009589,0.3199581244060612
25406.65,25383.75,52038.7,52153.15,0.10746751326089488,0.4141472388740075
25416.9,25418.55,52249.05,52188.65,0.13709558280394774,0.06806875519502764
25402.4,25377.55,52177.1,52750.4,-0.16129952337957665,1.0763834665200145
25487.05,25415.8,52929.25,53037.6,0.15072376963103373,0.544450847766087
25525.95,25790.95,53235.8,53793.2,1.4760503308965278,1.4246496824894095
25872.55,25939.05,53917.9,54105.8,0.5742324342453475,0.5811143415896503
25921.45,25940.4,54110.65,53968.6,0.005204508260714391,-0.25357725049810487
25899.45,26004.15,53794.0,54101.65,0.24575565527131804,0.2465322428226946
26005.4,26216.05,54045.85,54375.35,0.81486993422204,0.5058995428050661
26248.25,26178.95,54338.7,53834.3,-0.14151636116043198,-0.9950280779801757
26061.3,25810.85,53556.95,52978.1,-1.4060915353747983,-1.5904358373750593
25788.45,25796.9,52844.0,52922.6,-0.05404703835788505,-0.10476026886581113
25452.85,25250.1,52314.45,51845.2,-2.11963452973033,-2.035803229622135
25181.9,25014.6,51643.75,51462.05,-0.9326695735858426,-0.7390269494572221
25084.1,24795.75,51543.2,50478.9,-0.8748890647861551,-1.9104369141921151
24832.2,25013.15,50736.1,51021.0,0.8767631549761568,1.0739140512174394
25065.8,24981.95,51161.75,51007.0,-0.12473438971101203,-0.027439681699692464
25067.05,24998.45,51195.7,51530.9,0.06604768642959336,1.0271139255396244
24985.3,24964.25,51491.9,51172.3,-0.13680848212589414,-0.6958931437254123
25023.45,25127.95,51263.25,51816.9,0.6557377049180246,1.2596658739200572
25186.3,25057.35,51975.95,51906.0,-0.2809620362982379,0.17195162196117497
25008.55,24971.3,51711.2,51801.05,-0.34341221238478603,-0.20219242476784416
25027.4,24749.85,51849.3,51288.8,-0.8868180671410819,-0.9888795690434882
24664.95,24854.05,51261.0,52094.2,0.42101265260194864,1.5703233454477328
24956.15,24781.1,52361.1,51962.7,-0.2935135319998228,-0.2524273335611227
24798.65,24472.1,52071.35,51257.15,-1.246918014131737,-1.3578008840956945
24378.15,24435.5,51117.8,51239.0,-0.14955806816742134,-0.035409694062193964
24412.7,24399.4,51272.3,51531.15,-0.1477358760819225,0.5701711586877156
24418.05,24180.8,51369.75,50787.45,-0.8959236702541951,-1.4432047412099358
24251.1,24339.15,51061.35,51259.3,0.6548584000529489,0.9290681063924389
24328.85,24466.85,51404.1,52320.7,0.524669103070563,2.0706486432705784
24371.45,24340.85,51988.7,51807.5,-0.5149825171609779,-0.9808737268423351
24349.85,24205.35,51649.45,51475.35,-0.5566773551457738,-0.6411233894706436
24302.75,24304.35,51550.15,51673.9,0.4090004895611843,0.38571860123342017
24315.75,23995.35,51764.5,51215.25,-1.2713773460306443,-0.8875854154611895
23916.5,24213.3,51052.6,52207.25,0.9083009833155131,1.936923084432851
24308.75,24484.05,52440.4,52317.4,1.1181871120417242,0.21098602205633643
24489.6,24199.35,52258.95,51916.5,-1.1627978214388546,-0.7662842572451978
24207.7,24148.2,51869.15,51561.2,-0.21136931363857636,-0.6843681681161118
24087.25,24141.3,51562.7,51876.75,-0.02857355827764474,0.6119911871717454
24225.8,23883.45,52053.75,51157.8,-1.0680866399075395,-1.3858809582327325
23822.45,23559.05,51030.95,50088.35,-1.3582627300494754,-2.090492554410084
23542.15,23532.7,50053.45,50179.55,-0.11184661520731165,0.18207826770098023
23605.3,23453.8,50312.45,50363.8,-0.33527814487925856,0.3671814514079941
23529.55,23518.5,50580.55,50626.5,0.2758614808687776,0.5216048034500931
23488.45,23349.9,50625.0,50372.9,-0.7168824542381436,-0.5009234294292453
23411.8,23907.25,50512.8,51135.4,2.386948123974819,1.5137107452618315
24253.55,24221.9,52046.35,52207.5,1.3161279528176584,2.096590620196581
24343.3,24194.5,52554.9,52191.5,-0.11312077087264338,-0.030646937700518073
24204.8,24274.9,52154.3,52301.8,0.33230692926078387,0.21133709512086707
24274.15,23914.15,52389.95,51906.85,-1.4861029293632533,-0.7551365344978689
23927.15,24131.1,51984.15,52055.6,0.9072034757664271,0.28657104023843694
24140.85,24276.05,52087.65,52109.0,0.6006771344862161,0.10258262319520206
24367.5,24457.15,52357.95,52695.75,0.7460027475639563,1.1260051046844133
24488.75,24467.45,52775.0,53266.9,0.04211447368152044,1.083863499428328
24539.15,24708.4,53354.45,53603.55,0.9847777353177323,0.6320059924643573
